latitude,longitude,weather_id,weather_main,weather_description,weather_icon,temperature,feels_like,temp_min,temp_max,pressure,humidity,visibility,wind_speed,wind_direction,rain_1,rain_3,snow_1,snow_3,clouds,sunrise,sunset,w_date,w_time
53.3498,-6.2603,803,Clouds,"broken clouds",04d,279.1,276.11,278.52,279.68,1032,81,10000,4.12,100,0,0,0,0,75,1677827351,1677866717,2023-03-03,17:24:27
53.3498,-6.2603,803,Clouds,"broken clouds",04d,278.98,275.96,278.52,279.68,1032,81,10000,4.12,100,0,0,0,0,75,1677827351,1677866717,2023-03-03,17:34:16
53.3498,-6.2603,803,Clouds,"broken clouds",04d,278.98,275.96,278.52,279.68,1032,81,10000,4.12,100,0,0,0,0,75,1677827351,1677866717,2023-03-03,17:34:16
53.3498,-6.2603,803,Clouds,"broken clouds",04d,278.93,276.92,278.52,279.68,1032,81,10000,2.57,70,0,0,0,0,75,1677827351,1677866717,2023-03-03,17:45:17
53.3498,-6.2603,803,Clouds,"broken clouds",04d,278.99,276.99,278.52,279.68,1032,81,10000,2.57,70,0,0,0,0,75,1677827351,1677866717,2023-03-03,17:50:17
53.3498,-6.2603,803,Clouds,"broken clouds",04d,278.99,276.99,278.52,279.68,1032,81,10000,2.57,70,0,0,0,0,75,1677827351,1677866717,2023-03-03,17:50:17
53.3498,-6.2603,803,Clouds,"broken clouds",04d,278.99,276.99,278.52,279.68,1032,81,10000,2.57,70,0,0,0,0,75,1677827351,1677866717,2023-03-03,17:50:17
53.3498,-6.2603,803,Clouds,"broken clouds",04d,278.93,277.37,278.52,279.27,1032,82,10000,2.06,80,0,0,0,0,75,1677827351,1677866717,2023-03-03,18:00:45
53.3498,-6.2603,803,Clouds,"broken clouds",04n,278.93,277.37,278.52,279.27,1032,82,10000,2.06,80,0,0,0,0,75,1677827351,1677866717,2023-03-03,18:09:29
53.3498,-6.2603,803,Clouds,"broken clouds",04n,278.91,276.51,278.52,279.27,1032,82,10000,3.09,80,0,0,0,0,75,1677827351,1677866717,2023-03-03,18:13:08
53.3498,-6.2603,803,Clouds,"broken clouds",04n,278.93,277.37,278.52,279.27,1032,82,10000,2.06,80,0,0,0,0,75,1677827351,1677866717,2023-03-03,18:08:16
53.3467,-6.2599,803,Clouds,"broken clouds",04n,278.68,276.23,278.33,279.03,1032,82,10000,3.09,80,0,0,0,0,75,1677827351,1677866717,2023-03-03,18:23:05
53.3475,-6.2593,803,Clouds,"broken clouds",04n,278.68,276.23,278.33,279.03,1032,82,10000,3.09,80,0,0,0,0,75,1677827351,1677866716,2023-03-03,18:20:40
53.3498,-6.2603,803,Clouds,"broken clouds",04n,278.68,276.23,278.33,279.03,1032,82,10000,3.09,80,0,0,0,0,75,1677827351,1677866717,2023-03-03,18:35:19
53.3481,-6.263,803,Clouds,"broken clouds",04n,278.61,276.14,278.33,278.92,1032,82,10000,3.09,80,0,0,0,0,75,1677827351,1677866717,2023-03-03,18:38:49
53.3498,-6.2603,803,Clouds,"broken clouds",04n,278.62,276.16,278.33,278.92,1032,82,10000,3.09,80,0,0,0,0,75,1677827351,1677866717,2023-03-03,18:43:01
53.3545,-6.2594,803,Clouds,"broken clouds",04n,278.6,276.13,278.31,278.9,1032,82,10000,3.09,80,0,0,0,0,75,1677827351,1677866716,2023-03-03,18:43:24
53.3498,-6.2603,803,Clouds,"broken clouds",04n,278.59,276.12,278.33,278.92,1032,83,10000,3.09,80,0,0,0,0,75,1677827351,1677866717,2023-03-03,18:48:09
53.3498,-6.2603,803,Clouds,"broken clouds",04n,278.59,276.12,278.33,278.92,1032,83,10000,3.09,80,0,0,0,0,75,1677827351,1677866717,2023-03-03,18:58:47
53.3545,-6.2594,803,Clouds,"broken clouds",04n,278.72,278.72,278.31,279.25,1033,82,10000,1.03,0,0,0,0,0,75,1677827351,1677866716,2023-03-03,19:05:19
53.3498,-6.2603,803,Clouds,"broken clouds",04n,278.75,278.75,278.33,279.27,1033,82,10000,1.03,0,0,0,0,0,75,1677827351,1677866717,2023-03-03,19:07:47
53.3498,-6.2603,803,Clouds,"broken clouds",04n,278.75,278.75,278.33,279.27,1033,82,10000,1.03,0,0,0,0,0,75,1677827351,1677866717,2023-03-03,19:07:47
